Test Instrument:,Cary 500 (1437)
Part No.:,820FS10-25
Lot No.:,28650
Serial No.:,N086-02
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
800.0000,  0.0061
800.1000,  0.0045
800.2000,  0.0045
800.3000,  0.0045
800.4000,  0.0042
800.5000,  0.0043
800.6000,  0.0044
800.7000,  0.0046
800.8000,  0.0048
800.9000,  0.0050
801.0000,  0.0053
801.1000,  0.0055
801.2000,  0.0057
801.3000,  0.0058
801.4000,  0.0060
801.5000,  0.0060
801.6000,  0.0061
801.7000,  0.0062
801.8000,  0.0064
801.9000,  0.0065
802.0000,  0.0067
802.1000,  0.0070
802.2000,  0.0073
802.3000,  0.0076
802.4000,  0.0079
802.5000,  0.0082
802.6000,  0.0084
802.7000,  0.0087
802.8000,  0.0089
802.9000,  0.0091
803.0000,  0.0092
803.1000,  0.0094
803.2000,  0.0096
803.3000,  0.0098
803.4000,  0.0100
803.5000,  0.0103
803.6000,  0.0105
803.7000,  0.0108
803.8000,  0.0110
803.9000,  0.0113
804.0000,  0.0116
804.1000,  0.0120
804.2000,  0.0124
804.3000,  0.0128
804.4000,  0.0133
804.5000,  0.0138
804.6000,  0.0143
804.7000,  0.0149
804.8000,  0.0156
804.9000,  0.0163
805.0000,  0.0170
805.1000,  0.0176
805.2000,  0.0183
805.3000,  0.0190
805.4000,  0.0196
805.5000,  0.0202
805.6000,  0.0208
805.7000,  0.0214
805.8000,  0.0220
805.9000,  0.0226
806.0000,  0.0233
806.1000,  0.0241
806.2000,  0.0249
806.3000,  0.0259
806.4000,  0.0269
806.5000,  0.0280
806.6000,  0.0291
806.7000,  0.0303
806.8000,  0.0315
806.9000,  0.0327
807.0000,  0.0340
807.1000,  0.0354
807.2000,  0.0368
807.3000,  0.0383
807.4000,  0.0399
807.5000,  0.0416
807.6000,  0.0434
807.7000,  0.0452
807.8000,  0.0470
807.9000,  0.0489
808.0000,  0.0509
808.1000,  0.0530
808.2000,  0.0552
808.3000,  0.0577
808.4000,  0.0603
808.5000,  0.0631
808.6000,  0.0661
808.7000,  0.0693
808.8000,  0.0726
808.9000,  0.0760
809.0000,  0.0795
809.1000,  0.0830
809.2000,  0.0867
809.3000,  0.0905
809.4000,  0.0944
809.5000,  0.0987
809.6000,  0.1032
809.7000,  0.1080
809.8000,  0.1132
809.9000,  0.1188
810.0000,  0.1247
810.1000,  0.1310
810.2000,  0.1378
810.3000,  0.1450
810.4000,  0.1528
810.5000,  0.1611
810.6000,  0.1700
810.7000,  0.1795
810.8000,  0.1898
810.9000,  0.2007
811.0000,  0.2122
811.1000,  0.2244
811.2000,  0.2373
811.3000,  0.2509
811.4000,  0.2652
811.5000,  0.2804
811.6000,  0.2965
811.7000,  0.3138
811.8000,  0.3323
811.9000,  0.3524
812.0000,  0.3740
812.1000,  0.3973
812.2000,  0.4225
812.3000,  0.4497
812.4000,  0.4791
812.5000,  0.5107
812.6000,  0.5448
812.7000,  0.5816
812.8000,  0.6213
812.9000,  0.6641
813.0000,  0.7101
813.1000,  0.7597
813.2000,  0.8131
813.3000,  0.8705
813.4000,  0.9325
813.5000,  0.9995
813.6000,  1.0722
813.7000,  1.1514
813.8000,  1.2380
813.9000,  1.3327
814.0000,  1.4364
814.1000,  1.5501
814.2000,  1.6745
814.3000,  1.8104
814.4000,  1.9588
814.5000,  2.1206
814.6000,  2.2973
814.7000,  2.4906
814.8000,  2.7026
814.9000,  2.9357
815.0000,  3.1930
815.1000,  3.4777
815.2000,  3.7930
815.3000,  4.1425
815.4000,  4.5295
815.5000,  4.9574
815.6000,  5.4294
815.7000,  5.9492
815.8000,  6.5205
815.9000,  7.1481
816.0000,  7.8376
816.1000,  8.5955
816.2000,  9.4298
816.3000, 10.3490
816.4000, 11.3622
816.5000, 12.4779
816.6000, 13.7036
816.7000, 15.0446
816.8000, 16.5036
816.9000, 18.0802
817.0000, 19.7706
817.1000, 21.5683
817.2000, 23.4639
817.3000, 25.4461
817.4000, 27.5019
817.5000, 29.6171
817.6000, 31.7757
817.7000, 33.9604
817.8000, 36.1520
817.9000, 38.3295
818.0000, 40.4706
818.1000, 42.5517
818.2000, 44.5499
818.3000, 46.4433
818.4000, 48.2131
818.5000, 49.8442
818.6000, 51.3262
818.7000, 52.6537
818.8000, 53.8267
818.9000, 54.8494
819.0000, 55.7304
