Test Instrument:,Cary 500 (1437)
Part No.:,577FS10-12.5
Lot No.:,28640
Serial No.:,N123-08
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
557.0000,  0.0048
557.1000,  0.0023
557.2000,  0.0035
557.3000,  0.0004
557.4000,  0.0009
557.5000,  0.0009
557.6000,  0.0009
557.7000,  0.0017
557.8000,  0.0022
557.9000,  0.0029
558.0000,  0.0036
558.1000,  0.0041
558.2000,  0.0046
558.3000,  0.0050
558.4000,  0.0053
558.5000,  0.0056
558.6000,  0.0057
558.7000,  0.0059
558.8000,  0.0060
558.9000,  0.0061
559.0000,  0.0063
559.1000,  0.0064
559.2000,  0.0066
559.3000,  0.0068
559.4000,  0.0070
559.5000,  0.0073
559.6000,  0.0075
559.7000,  0.0078
559.8000,  0.0081
559.9000,  0.0084
560.0000,  0.0087
560.1000,  0.0091
560.2000,  0.0095
560.3000,  0.0099
560.4000,  0.0103
560.5000,  0.0108
560.6000,  0.0112
560.7000,  0.0118
560.8000,  0.0123
560.9000,  0.0128
561.0000,  0.0133
561.1000,  0.0138
561.2000,  0.0143
561.3000,  0.0147
561.4000,  0.0152
561.5000,  0.0156
561.6000,  0.0160
561.7000,  0.0165
561.8000,  0.0170
561.9000,  0.0175
562.0000,  0.0181
562.1000,  0.0187
562.2000,  0.0194
562.3000,  0.0202
562.4000,  0.0211
562.5000,  0.0220
562.6000,  0.0229
562.7000,  0.0240
562.8000,  0.0251
562.9000,  0.0262
563.0000,  0.0275
563.1000,  0.0287
563.2000,  0.0301
563.3000,  0.0315
563.4000,  0.0329
563.5000,  0.0344
563.6000,  0.0359
563.7000,  0.0375
563.8000,  0.0391
563.9000,  0.0407
564.0000,  0.0424
564.1000,  0.0442
564.2000,  0.0461
564.3000,  0.0481
564.4000,  0.0502
564.5000,  0.0524
564.6000,  0.0549
564.7000,  0.0575
564.8000,  0.0603
564.9000,  0.0633
565.0000,  0.0665
565.1000,  0.0699
565.2000,  0.0734
565.3000,  0.0772
565.4000,  0.0811
565.5000,  0.0853
565.6000,  0.0896
565.7000,  0.0942
565.8000,  0.0990
565.9000,  0.1041
566.0000,  0.1095
566.1000,  0.1152
566.2000,  0.1213
