Test Instrument:,Cary 500 (1437)
Part No.:,540FS10-25
Lot No.:,27748
Serial No.:,N086-03
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
520.0000,  0.0067
520.1000,  0.0090
520.2000,  0.0067
520.3000,  0.0067
520.4000,  0.0073
520.5000,  0.0074
520.6000,  0.0082
520.7000,  0.0088
520.8000,  0.0094
520.9000,  0.0099
521.0000,  0.0103
521.1000,  0.0106
521.2000,  0.0109
521.3000,  0.0111
521.4000,  0.0113
521.5000,  0.0115
521.6000,  0.0117
521.7000,  0.0120
521.8000,  0.0123
521.9000,  0.0127
522.0000,  0.0132
522.1000,  0.0137
522.2000,  0.0142
522.3000,  0.0148
522.4000,  0.0153
522.5000,  0.0159
522.6000,  0.0164
522.7000,  0.0169
522.8000,  0.0174
522.9000,  0.0179
523.0000,  0.0184
523.1000,  0.0189
523.2000,  0.0193
523.3000,  0.0198
523.4000,  0.0204
523.5000,  0.0209
523.6000,  0.0215
523.7000,  0.0221
523.8000,  0.0227
523.9000,  0.0234
524.0000,  0.0241
524.1000,  0.0249
524.2000,  0.0257
524.3000,  0.0266
524.4000,  0.0275
524.5000,  0.0285
524.6000,  0.0296
524.7000,  0.0307
524.8000,  0.0318
524.9000,  0.0330
525.0000,  0.0342
525.1000,  0.0354
525.2000,  0.0367
525.3000,  0.0379
525.4000,  0.0392
525.5000,  0.0405
525.6000,  0.0418
525.7000,  0.0432
525.8000,  0.0447
525.9000,  0.0463
526.0000,  0.0481
526.1000,  0.0500
526.2000,  0.0521
526.3000,  0.0543
526.4000,  0.0567
526.5000,  0.0591
526.6000,  0.0615
526.7000,  0.0641
526.8000,  0.0666
526.9000,  0.0693
527.0000,  0.0720
527.1000,  0.0749
527.2000,  0.0780
527.3000,  0.0812
527.4000,  0.0847
527.5000,  0.0882
527.6000,  0.0920
527.7000,  0.0959
527.8000,  0.1000
527.9000,  0.1042
528.0000,  0.1087
528.1000,  0.1133
528.2000,  0.1183
528.3000,  0.1235
528.4000,  0.1290
528.5000,  0.1348
528.6000,  0.1409
528.7000,  0.1473
528.8000,  0.1540
528.9000,  0.1611
529.0000,  0.1685
529.1000,  0.1763
529.2000,  0.1846
529.3000,  0.1933
529.4000,  0.2026
529.5000,  0.2124
529.6000,  0.2229
529.7000,  0.2339
529.8000,  0.2456
529.9000,  0.2579
530.0000,  0.2710
530.1000,  0.2849
530.2000,  0.2995
530.3000,  0.3151
530.4000,  0.3317
530.5000,  0.3494
530.6000,  0.3683
530.7000,  0.3884
530.8000,  0.4100
530.9000,  0.4330
531.0000,  0.4575
531.1000,  0.4837
531.2000,  0.5115
531.3000,  0.5412
531.4000,  0.5727
531.5000,  0.6064
531.6000,  0.6422
531.7000,  0.6806
531.8000,  0.7217
531.9000,  0.7657
532.0000,  0.8130
532.1000,  0.8639
532.2000,  0.9185
532.3000,  0.9772
532.4000,  1.0403
532.5000,  1.1081
532.6000,  1.1809
532.7000,  1.2592
532.8000,  1.3433
532.9000,  1.4338
533.0000,  1.5312
533.1000,  1.6363
533.2000,  1.7497
533.3000,  1.8723
533.4000,  2.0049
533.5000,  2.1485
533.6000,  2.3039
533.7000,  2.4722
533.8000,  2.6545
533.9000,  2.8518
534.0000,  3.0654
534.1000,  3.2967
534.2000,  3.5475
534.3000,  3.8193
534.4000,  4.1144
534.5000,  4.4347
534.6000,  4.7827
534.7000,  5.1608
534.8000,  5.5715
534.9000,  6.0173
535.0000,  6.5008
535.1000,  7.0245
535.2000,  7.5912
535.3000,  8.2036
535.4000,  8.8648
535.5000,  9.5778
535.6000, 10.3460
535.7000, 11.1729
535.8000, 12.0619
535.9000, 13.0158
536.0000, 14.0372
536.1000, 15.1275
536.2000, 16.2871
536.3000, 17.5152
536.4000, 18.8094
536.5000, 20.1663
536.6000, 21.5810
536.7000, 23.0478
536.8000, 24.5601
536.9000, 26.1105
537.0000, 27.6910
537.1000, 29.2931
537.2000, 30.9073
537.3000, 32.5239
537.4000, 34.1321
537.5000, 35.7208
537.6000, 37.2782
537.7000, 38.7930
537.8000, 40.2542
537.9000, 41.6519
538.0000, 42.9777
538.1000, 44.2253
538.2000, 45.3905
538.3000, 46.4708
538.4000, 47.4660
538.5000, 48.3772
538.6000, 49.2069
538.7000, 49.9584
538.8000, 50.6355
538.9000, 51.2424
539.0000, 51.7836
539.1000, 52.2636
539.2000, 52.6874
539.3000, 53.0599
539.4000, 53.3862
539.5000, 53.6718
539.6000, 53.9219
539.7000, 54.1416
539.8000, 54.3359
539.9000, 54.5090
540.0000, 54.6645
540.1000, 54.8052
540.2000, 54.9333
540.3000, 55.0501
540.4000, 55.1566
540.5000, 55.2534
540.6000, 55.3410
540.7000, 55.4202
540.8000, 55.4920
540.9000, 55.5575
541.0000, 55.6182
541.1000, 55.6755
541.2000, 55.7304
541.3000, 55.7836
541.4000, 55.8354
541.5000, 55.8854
541.6000, 55.9329
541.7000, 55.9769
541.8000, 56.0166
541.9000, 56.0510
542.0000, 56.0799
542.1000, 56.1032
542.2000, 56.1214
542.3000, 56.1352
542.4000, 56.1453
542.5000, 56.1526
542.6000, 56.1576
542.7000, 56.1604
542.8000, 56.1607
542.9000, 56.1579
543.0000, 56.1508
543.1000, 56.1382
543.2000, 56.1186
543.3000, 56.0911
543.4000, 56.0544
543.5000, 56.0081
543.6000, 55.9513
543.7000, 55.8836
543.8000, 55.8038
543.9000, 55.7104
544.0000, 55.6011
544.1000, 55.4723
544.2000, 55.3200
544.3000, 55.1391
544.4000, 54.9241
544.5000, 54.6696
544.6000, 54.3700
544.7000, 54.0200
544.8000, 53.6146
544.9000, 53.1489
545.0000, 52.6182
545.1000, 52.0176
545.2000, 51.3426
545.3000, 50.5886
545.4000, 49.7518
545.5000, 48.8293
545.6000, 47.8196
545.7000, 46.7227
545.8000, 45.5408
545.9000, 44.2779
546.0000, 42.9396
546.1000, 41.5333
546.2000, 40.0674
546.3000, 38.5510
546.4000, 36.9940
546.5000, 35.4060
546.6000, 33.7972
546.7000, 32.1772
546.8000, 30.5561
546.9000, 28.9435
547.0000, 27.3494
547.1000, 25.7832
547.2000, 24.2543
547.3000, 22.7712
547.4000, 21.3415
547.5000, 19.9716
547.6000, 18.6661
547.7000, 17.4278
547.8000, 16.2578
547.9000, 15.1556
548.0000, 14.1195
548.1000, 13.1472
548.2000, 12.2356
548.3000, 11.3820
548.4000, 10.5837
548.5000,  9.8381
548.6000,  9.1430
548.7000,  8.4963
548.8000,  7.8956
548.9000,  7.3386
549.0000,  6.8228
549.1000,  6.3456
549.2000,  5.9042
549.3000,  5.4960
549.4000,  5.1183
549.5000,  4.7688
549.6000,  4.4453
549.7000,  4.1457
549.8000,  3.8683
549.9000,  3.6115
550.0000,  3.3737
550.1000,  3.1535
550.2000,  2.9496
550.3000,  2.7606
550.4000,  2.5853
550.5000,  2.4226
550.6000,  2.2714
550.7000,  2.1308
550.8000,  2.0000
550.9000,  1.8783
551.0000,  1.7648
