Test Instrument:,Cary 500 (1437)
Part No.:,450FS80-25
Lot No.:,26926
Serial No.:,N121-04
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
290.0000,  0.0022
291.0000,  0.0025
292.0000,  0.0026
293.0000,  0.0022
294.0000,  0.0021
295.0000,  0.0019
296.0000,  0.0017
297.0000,  0.0015
298.0000,  0.0014
299.0000,  0.0014
300.0000,  0.0014
301.0000,  0.0014
302.0000,  0.0015
303.0000,  0.0015
304.0000,  0.0015
305.0000,  0.0015
306.0000,  0.0015
307.0000,  0.0015
308.0000,  0.0015
309.0000,  0.0015
310.0000,  0.0015
311.0000,  0.0015
312.0000,  0.0015
313.0000,  0.0015
314.0000,  0.0016
315.0000,  0.0016
316.0000,  0.0017
317.0000,  0.0018
318.0000,  0.0019
319.0000,  0.0020
320.0000,  0.0021
321.0000,  0.0021
322.0000,  0.0021
323.0000,  0.0021
324.0000,  0.0020
325.0000,  0.0020
326.0000,  0.0019
327.0000,  0.0019
328.0000,  0.0019
329.0000,  0.0019
330.0000,  0.0019
331.0000,  0.0019
332.0000,  0.0019
333.0000,  0.0019
334.0000,  0.0018
335.0000,  0.0017
336.0000,  0.0016
337.0000,  0.0016
338.0000,  0.0015
339.0000,  0.0015
340.0000,  0.0015
341.0000,  0.0015
342.0000,  0.0016
343.0000,  0.0016
344.0000,  0.0016
345.0000,  0.0015
346.0000,  0.0014
347.0000,  0.0012
348.0000,  0.0010
349.0000,  0.0009
350.0000,  0.0007
351.0000,  0.0006
352.0000,  0.0005
353.0000,  0.0005
354.0000,  0.0005
355.0000,  0.0005
356.0000,  0.0006
357.0000,  0.0007
358.0000,  0.0009
359.0000,  0.0012
360.0000,  0.0018
361.0000,  0.0025
362.0000,  0.0037
363.0000,  0.0054
364.0000,  0.0076
365.0000,  0.0106
366.0000,  0.0144
367.0000,  0.0191
368.0000,  0.0248
369.0000,  0.0317
370.0000,  0.0399
371.0000,  0.0494
372.0000,  0.0604
373.0000,  0.0731
374.0000,  0.0874
375.0000,  0.1036
376.0000,  0.1218
377.0000,  0.1419
378.0000,  0.1641
379.0000,  0.1884
380.0000,  0.2150
381.0000,  0.2438
382.0000,  0.2750
383.0000,  0.3088
384.0000,  0.3451
385.0000,  0.3843
386.0000,  0.4265
387.0000,  0.4721
388.0000,  0.5212
389.0000,  0.5742
390.0000,  0.6315
391.0000,  0.6933
392.0000,  0.7599
393.0000,  0.8318
394.0000,  0.9092
395.0000,  0.9927
396.0000,  1.0827
397.0000,  1.1801
398.0000,  1.2854
399.0000,  1.3997
400.0000,  1.5239
401.0000,  1.6592
402.0000,  1.8065
403.0000,  1.9672
404.0000,  2.1426
405.0000,  2.3340
406.0000,  2.5433
407.0000,  2.7722
408.0000,  3.0231
409.0000,  3.2988
410.0000,  3.6022
411.0000,  3.9367
412.0000,  4.3062
413.0000,  4.7145
414.0000,  5.1662
415.0000,  5.6659
416.0000,  6.2190
417.0000,  6.8317
418.0000,  7.5108
419.0000,  8.2639
420.0000,  9.0996
421.0000, 10.0271
422.0000, 11.0559
423.0000, 12.1956
424.0000, 13.4558
425.0000, 14.8455
426.0000, 16.3730
427.0000, 18.0455
428.0000, 19.8688
429.0000, 21.8466
430.0000, 23.9800
431.0000, 26.2665
432.0000, 28.6994
433.0000, 31.2670
434.0000, 33.9516
435.0000, 36.7300
436.0000, 39.5735
437.0000, 42.4485
438.0000, 45.3183
439.0000, 48.1446
440.0000, 50.8893
441.0000, 53.5169
442.0000, 55.9956
443.0000, 58.2992
444.0000, 60.4078
445.0000, 62.3080
446.0000, 63.9937
447.0000, 65.4651
448.0000, 66.7284
449.0000, 67.7948
450.0000, 68.6797
451.0000, 69.4012
452.0000, 69.9791
453.0000, 70.4332
454.0000, 70.7830
455.0000, 71.0460
456.0000, 71.2378
457.0000, 71.3715
458.0000, 71.4582
459.0000, 71.5064
460.0000, 71.5230
461.0000, 71.5130
462.0000, 71.4802
463.0000, 71.4270
464.0000, 71.3548
465.0000, 71.2641
466.0000, 71.1550
467.0000, 71.0270
468.0000, 70.8793
469.0000, 70.7109
470.0000, 70.5210
471.0000, 70.3083
472.0000, 70.0718
473.0000, 69.8106
474.0000, 69.5236
475.0000, 69.2102
476.0000, 68.8699
477.0000, 68.5025
478.0000, 68.1082
479.0000, 67.6872
480.0000, 67.2403
481.0000, 66.7679
482.0000, 66.2706
483.0000, 65.7488
484.0000, 65.2023
485.0000, 64.6310
486.0000, 64.0338
487.0000, 63.4096
488.0000, 62.7565
489.0000, 62.0722
490.0000, 61.3538
491.0000, 60.5981
492.0000, 59.8011
493.0000, 58.9585
494.0000, 58.0654
495.0000, 57.1165
496.0000, 56.1064
497.0000, 55.0298
498.0000, 53.8816
499.0000, 52.6576
500.0000, 51.3546
501.0000, 49.9713
502.0000, 48.5078
503.0000, 46.9665
504.0000, 45.3518
505.0000, 43.6699
506.0000, 41.9288
507.0000, 40.1383
508.0000, 38.3090
509.0000, 36.4531
510.0000, 34.5832
511.0000, 32.7127
512.0000, 30.8552
513.0000, 29.0239
514.0000, 27.2313
515.0000, 25.4886
516.0000, 23.8055
517.0000, 22.1897
518.0000, 20.6468
519.0000, 19.1806
520.0000, 17.7934
521.0000, 16.4861
522.0000, 15.2587
523.0000, 14.1103
524.0000, 13.0396
525.0000, 12.0446
526.0000, 11.1227
527.0000, 10.2707
528.0000,  9.4848
529.0000,  8.7610
530.0000,  8.0950
531.0000,  7.4825
532.0000,  6.9195
533.0000,  6.4021
534.0000,  5.9268
535.0000,  5.4904
536.0000,  5.0899
537.0000,  4.7223
538.0000,  4.3850
539.0000,  4.0752
540.0000,  3.7906
541.0000,  3.5288
542.0000,  3.2876
543.0000,  3.0654
544.0000,  2.8604
545.0000,  2.6712
546.0000,  2.4965
547.0000,  2.3353
548.0000,  2.1863
549.0000,  2.0486
550.0000,  1.9213
551.0000,  1.8034
552.0000,  1.6941
553.0000,  1.5926
554.0000,  1.4984
555.0000,  1.4109
556.0000,  1.3296
557.0000,  1.2540
558.0000,  1.1837
559.0000,  1.1183
560.0000,  1.0574
561.0000,  1.0006
562.0000,  0.9475
563.0000,  0.8978
564.0000,  0.8512
565.0000,  0.8075
566.0000,  0.7666
567.0000,  0.7281
568.0000,  0.6921
569.0000,  0.6584
570.0000,  0.6267
571.0000,  0.5971
572.0000,  0.5693
573.0000,  0.5431
574.0000,  0.5185
575.0000,  0.4952
576.0000,  0.4733
577.0000,  0.4524
578.0000,  0.4328
579.0000,  0.4141
580.0000,  0.3966
581.0000,  0.3799
582.0000,  0.3642
583.0000,  0.3494
584.0000,  0.3353
585.0000,  0.3219
586.0000,  0.3091
587.0000,  0.2970
588.0000,  0.2855
589.0000,  0.2745
590.0000,  0.2642
591.0000,  0.2544
592.0000,  0.2451
593.0000,  0.2363
594.0000,  0.2280
595.0000,  0.2200
596.0000,  0.2124
597.0000,  0.2051
598.0000,  0.1981
599.0000,  0.1915
600.0000,  0.1852
601.0000,  0.1792
602.0000,  0.1736
603.0000,  0.1681
604.0000,  0.1630
605.0000,  0.1580
606.0000,  0.1528
607.0000,  0.1491
608.0000,  0.1427
609.0000,  0.1385
610.0000,  0.1365
